cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
,-1057198632#0,,,,,
,724540987#0,,,,,
,136400684#11,,,,,
,47114118,,,,,
,-47113636#12,,,,,
,-151695968#1,,,,,
,398675574#0,,,,,
,1057215452,,,,,
,-47113624#2,,,,,
,-136400684#4,,,,,
,-44886287#0,,,,,
,224195459#0,,,,,
,151560757#0,,,,,
,-136400683#1,,,,,
,-47113642#4,,,,,
,44885797#0,,,,,
,-1058027400#3,,,,,
,680260861,,,,,
,-136400684#16,,,,,
,1056874653#2,,,,,
,-136400684#14,,,,,
,-190527312#2,,,,,
,-44886288#1,,,,,
,-190898553#3,,,,,
,749803802#2,,,,,
,60185722#0,,,,,
,-297026350,,,,,
,-47113636#15,,,,,
,47113636#9,,,,,
,-136400684#0,,,,,
,47981601#8,,,,,
,164774173#1,,,,,
,47113620#0,,,,,
,-47114116#3,,,,,
,-190527312#0,,,,,
,151560757#1,,,,,
,-148940705#1,,,,,
,44885598#0,,,,,
,44886285#0,,,,,
,-1066890912#0,,,,,
,-313310947#1,,,,,
,-47113651#1,,,,,
,-47111169#2,,,,,
,-1058029001#0,,,,,
,-190521610#2,,,,,
,44886287#1,,,,,
,-297026345#1,,,,,
,-47981601#1,,,,,
,-72843608,,,,,
,-644730737,,,,,
,44886227#1,,,,,
,-47113630#4,,,,,
,1296331245#3,,,,,
,164774173#3,,,,,
,151801165#1,,,,,
,4857841,,,,,
,-1057215462#0,,,,,
,-47113630#3,,,,,
,796894969#2,,,,,
,1058036879#8,,,,,
,-149986797#1,,,,,
,749803802#4,,,,,
,-1056408300#0,,,,,
,-147259688,,,,,
,1124642414#4,,,,,
,1194311027#0,,,,,
,462324820#7,,,,,
,231449996,,,,,
,47981601#4,,,,,
,1056876861,,,,,
,-1056405591,,,,,
,681031181#1,,,,,
,-47113636#0,,,,,
,-164774173#5,,,,,
,-1066886859#1,,,,,
,47114116#1,,,,,
,-1057198632#1,,,,,
,432603494#0,,,,,
,47981647#0,,,,,
,-71367225#0,,,,,
,-47111169#4,,,,,
,72843607#3,,,,,
,72843611#0,,,,,
,164774174#0,,,,,
,-796894969#1,,,,,
,46876069#4,,,,,
,313310947#2,,,,,
,-47981636#1,,,,,
,-1066886864#1,,,,,
,47981602#1,,,,,
,44886289,,,,,
,47113632#3,,,,,
,47113657,,,,,
,47113642#1,,,,,
,-47981657#1,,,,,
,-120456303,,,,,
,-47113638#0,,,,,
,147297543#0,,,,,
,-164774171,,,,,
,151561487,,,,,
,-148940706#1,,,,,
,-302028394#1,,,,,
,-44886286#3,,,,,
,-680260860,,,,,
,-796894969#0,,,,,
,72843619,,,,,
,1056876862,,,,,
,47114116#0,,,,,
,196629668#1,,,,,
,680497649,,,,,
,296443891#0,,,,,
,208649512#0,,,,,
,1021561144#0,,,,,
,-59525014,,,,,
,-46655820#1,,,,,
,57478195#0,,,,,
,-401190982,,,,,
,46655809#0,,,,,
,680508518#0,,,,,
,-46655815#1,,,,,
,261324420,,,,,
,-46655814,,,,,
,46655816,,,,,
,46655813#5,,,,,
,1021561409,,,,,
,1021555392,,,,,
,154458448#4,,,,,
,744698554#6,,,,,
,59584806#0,,,,,
,72157141,,,,,
,1021561146,,,,,
,-680497679#1,,,,,
,-71500770,,,,,
,1024102265#0,,,,,
,185216953,,,,,
,-401190994,,,,,
,792190865#3,,,,,
,46655813#6,,,,,
,1063455943#2,,,,,
,-71502410#0,,,,,
,-1024100274,,,,,
,46655813#2,,,,,
,72002813#1,,,,,
,-157366923#3,,,,,
,46655808,,,,,
,296443882,,,,,
,45701220#0,,,,,
,-56016102#1,,,,,
,70330617#0,,,,,
,-185216958,,,,,
,-871138580#0,,,,,
,262334436#0,,,,,
,46655820#2,,,,,
,99702590,,,,,
,196629668#0,,,,,
,185217013#0,,,,,
,1057083595#2,,,,,
,1021555391,,,,,
,-57362799#1,,,,,
,196629586#1,,,,,
,-46655816,,,,,
,-46655813#3,,,,,
,-46655813#5,,,,,
,-46655490#0,,,,,
,71500768,,,,,
,210903524#0,,,,,
,-45701220#2,,,,,
,46771119#3,,,,,
,680497677,,,,,
,59585493#2-AddedOnRampEdge,,,,,
,46771119#0,,,,,
,71500772,,,,,
,-46655813#6,,,,,
,-56016112#3,,,,,
,46655813#1,,,,,
,56016110#0,,,,,
,-46655813#2,,,,,
,792190864,,,,,
,-46655808,,,,,
,1057080943,,,,,
,680497644#0,,,,,
,-296443882,,,,,
,-45701220#1,,,,,
,1021555395,,,,,
,-1196019587#1,,,,,
,-57015985#3,,,,,
,-1196019588,,,,,
,-1021561140,,,,,
,56016110#5,,,,,
,72374661,,,,,
,56016125#3,,,,,
,208649503#2,,,,,
,154522201,,,,,
,388577154#0,,,,,
,750339758#4,,,,,
,793657045#1,,,,,
,162521831#1,,,,,
,46655817,,,,,
,-185217013#0,,,,,
,46771116#1,,,,,
,1057083594#0,,,,,
,-56016125#1,,,,,
,59525014,,,,,
,46655820#1,,,,,
,-1021551457,,,,,
,-1024102263#1,,,,,
,401190983,,,,,
,-679653112,,,,,
,680497679#0,,,,,
,208649499#2,,,,,
,72002813#2-AddedOnRampEdge,,,,,
,208649503#1,,,,,
,46655812#2-AddedOnRampEdge,,,,,
,-46655813#1,,,,,
,145988606#2,,,,,
,46655819#2,,,,,
,1063455941,,,,,
,57741626,,,,,
,-56016157,,,,,
,46771119#4,,,,,
,-1024100297#0,,,,,
,680497679#1,,,,,
,71500770,,,,,
,-1021555395,,,,,
,46655812#1,,,,,
,45701220#3,,,,,
,-55886805#1,,,,,
,72157146#1,,,,,
,145988603,,,,,
,1057083594#1,,,,,
,-56016125#3,,,,,
,43097007,,,,,
,59585493#3,,,,,
,1024102264#0,,,,,
,157366923#1,,,,,
,46771119#6,,,,,
,1021555393,,,,,
,46655464#7,,,,,
,56016102#1,,,,,
,46655812#2,,,,,
,185216958,,,,,
,871138580#0,,,,,
,-750339758#3,,,,,
,1056881227#1,,,,,
,71500760,,,,,
,-1021561138,,,,,
,-401190983,,,,,
,146937564,,,,,
,-680497679#0,,,,,
,57362799#0,,,,,
,386246055#1-AddedOnRampEdge,,,,,
,46655813#3,,,,,
,59584806#2,,,,,
,46655493#1,,,,,
,-1064731222,,,,,
,71686368,,,,,
,-1021561139,,,,,
,-46655819#2,,,,,
,1063455939#1,,,,,
,45701220#2,,,,,
,145719422,,,,,
,1063455939#0,,,,,
,-157044177,,,,,
,-57207543,,,,,
,208649499#0,,,,,
,793657045#0,,,,,
,208649508#0,,,,,
,208649503#3,,,,,
,1056779402,,,,,
,145988606#1,,,,,
,-46655493#0,,,,,
,1196019587#1,,,,,
,680497644#1,,,,,
,57015985#3,,,,,
,154458522,,,,,
,208649499#3,,,,,
,72002813#2,,,,,
,59585493#7,,,,,
,-154458448#3,,,,,
,-71652104,,,,,
,386246054#1,,,,,
,1021561410#0,,,,,
,56016110#4,,,,,
,-146937564,,,,,
,59584806#1,,,,,
,750339758#3,,,,,
,56016125#1,,,,,
,262334436#1,,,,,
,1021551457,,,,,
,388577154#1,,,,,
,1024102263#0,,,,,
,46771117#1,,,,,
,46771114#1,,,,,
,1021551461,,,,,
,70794981#9,,,,,
,46655490#1,,,,,
,56016110#6,,,,,
,56016157,,,,,
,-1024100300,,,,,
,156575056#1,,,,,
,1024100297#0,,,,,
,-56016102#2,,,,,
,154475500,,,,,
,146901451,,,,,
,1021561410#1,,,,,
,-157366923#4,,,,,
,1024102265#2,,,,,
,210903524#1,,,,,
,197666540#1,,,,,
,1057083595#1,,,,,
,208649499#5,,,,,
,46655464#0,,,,,
,998681826,,,,,
,59585493#1,,,,,
,46655806,,,,,
,208649510,,,,,
,1021561138,,,,,
,46655464#4,,,,,
,680497647,,,,,
,196629587#0,,,,,
,46771114#0,,,,,
,-1024102261#1,,,,,
,-750339758#2,,,,,
,185216941#0,,,,,
,146191009#1,,,,,
,-46655490#1,,,,,
,1064731222,,,,,
,1021561139,,,,,
,208649503#4,,,,,
,-1024100297#1,,,,,
,145988608,,,,,
,154082986#4,,,,,
,-154475500,,,,,
,72002813#0,,,,,
,46655464#6,,,,,
,-154458448#0,,,,,
,70794981#10,,,,,
,-46655805#0,,,,,
,70936552#5,,,,,
,410104678,,,,,
,72157144,,,,,
,46655819#1,,,,,
,-46655813#0,,,,,
,-46655464#3,,,,,
,-998681826,,,,,
,-46771112#1,,,,,
,99702517#0,,,,,
,70794981#8,,,,,
,154458448#2,,,,,
,46771119#2,,,,,
,-46655464#5,,,,,
,71652104,,,,,
,-46771113#1,,,,,
,792190865#0,,,,,
,-1024100299#1,,,,,
,116439672#0,,,,,
,46771117#0,,,,,
,792190865#2,,,,,
,59584797#1,,,,,
,-46655464#6,,,,,
,-71502410#1,,,,,
,-1021551458,,,,,
,197666540#0,,,,,
,1024100300,,,,,
,-70936552#5,,,,,
,314279960#3,,,,,
,56016102#2,,,,,
,-46655819#1,,,,,
,-99702517#0,,,,,
,-56016125#2,,,,,
,680508518#2,,,,,
,59584797#0,,,,,
,56016102#0,,,,,
,-792190865#2,,,,,
,157366923#4,,,,,
,208649512#3,,,,,
,59584806#0-AddedOffRampEdge,,,,,
,154088882#0,,,,,
,-262334435#3,,,,,
,296443891#1,,,,,
,-46655809#1,,,,,
,46771111,,,,,
,168683388#1,,,,,
,59585493#6,,,,,
,-261324420,,,,,
,-792190865#1,,,,,
,157366923#0,,,,,
,-116439672#1,,,,,
,1024102261#0,,,,,
,-154458448#4,,,,,
,196629586#2,,,,,
,1275740416,,,,,
,56016125#0,,,,,
,1024102264#2,,,,,
,-792190865#3,,,,,
,1024100297#1,,,,,
,59585493#5,,,,,
,46771119#5,,,,,
,215290851,,,,,
,46655813#4,,,,,
,154458448#0,,,,,
,1024100285,,,,,
,1063455940#1,,,,,
,-56016102#0,,,,,
,314279960#2,,,,,
,46655813#0,,,,,
,46771112#1,,,,,
,59585493#4,,,,,
,57015985#0,,,,,
,-46771111,,,,,
,-1021555391,,,,,
,1060235877#1,,,,,
,-157366923#0,,,,,
,215298730#0,,,,,
,46771113#1,,,,,
,59585493#2,,,,,
,401190982,,,,,
,210903489#1,,,,,
,-680497677,,,,,
,-56016125#0,,,,,
,46655815#1,,,,,
,46655814,,,,,
,680508518#1,,,,,
,1024100299#0,,,,,
,-215290851,,,,,
,208649501,,,,,
,157044175#0,,,,,
,-46655813#4,,,,,
,71502410#1,,,,,
,1021551458,,,,,
,-1024100285,,,,,
,401190994,,,,,
,154088882#2,,,,,
,46655809#2,,,,,
,196629587#2,,,,,
,-750339758#4,,,,,
,71500780,,,,,
,57601580,,,,,
,145988606#0,,,,,
,-57015985#2,,,,,
,56016125#2,,,,,
,-46655817,,,,,
,162521831#1-AddedOnRampEdge,,,,,
,55886811#2,,,,,
,46771115,,,,,
,174022717,,,,,
,31133895#1,,,,,
,209210741#0,,,,,
,991009315,,,,,
,174022680#1,,,,,
,44884380#7,,,,,
,1253807732#1,,,,,
,44884353#0,,,,,
,24804076#0,,,,,
,-30998616,,,,,
,304727809#3,,,,,
,1253807732#0,,,,,
,429870959#3,,,,,
,673085464#1,,,,,
,673085464#3,,,,,
,46876504#3,,,,,
,648435893#1,,,,,
,-31283330#0,,,,,
,-304727997#2,,,,,
,24804076#8,,,,,
,30969218#0,,,,,
,1056328010,,,,,
,46876504#8,,,,,
,368083811#1,,,,,
,-1056328003,,,,,
,-368083792#1,,,,,
,31133842#0,,,,,
,-24804076#4,,,,,
,209366286#1,,,,,
,-31133855#0,,,,,
,-44884346#1,,,,,
,171018750,,,,,
,209210739#2,,,,,
,-31238049#1,,,,,
,425464570#2,,,,,
,1056330401,,,,,
,101134266#0,,,,,
,-31133881#0,,,,,
,44884379#0,,,,,
,-44884353#0,,,,,
,-24804076#1,,,,,
,-31258035#1,,,,,
,61184936,,,,,
,-429870959#3,,,,,
,648435891#1,,,,,
,174405496#1,,,,,
,46876504#3-AddedOnRampEdge,,,,,
,648435894,,,,,
,101134275#2,,,,,
,648408839#2,,,,,
,1249368539#0,,,,,
,31133881#2,,,,,
,116436260,,,,,
,31133842#1,,,,,
,-131633149,,,,,
,174022686#0,,,,,
,-31133855#1,,,,,
,-24804076#7,,,,,
,1056330398#2,,,,,
,174022680#5,,,,,
,174022686#2,,,,,
,648435889#3,,,,,
,24804076#3,,,,,
,-648435893#3,,,,,
,-1056330401,,,,,
,44884348,,,,,
,174022675#1,,,,,
,682476163#1,,,,,
,1056330392,,,,,
,174022720#1,,,,,
,174022720#7-AddedOnRampEdge,,,,,
,367851538#1,,,,,
,382681595,,,,,
,30998616,,,,,
,209366286#0,,,,,
,-31133930#0,,,,,
,648435889#2,,,,,
,-31133881#2,,,,,
,-161392517,,,,,
,-31133842#1,,,,,
,-25822382#2,,,,,
,-1056328000,,,,,
,31283330#0,,,,,
,44884381#1,,,,,
,1056328003,,,,,
,368083792#0,,,,,
,-648435893#0,,,,,
,-1056330402,,,,,
,-44884348,,,,,
,31133855#0,,,,,
,648435889#0,,,,,
,44884346#0,,,,,
,31133850#1,,,,,
,1056330398#0,,,,,
,-31133923,,,,,
,31238049#1,,,,,
,367851541#1,,,,,
,-31283330#2,,,,,
,31258035#0,,,,,
,44884379#1,,,,,
,31133895#0,,,,,
,1028570793#0,,,,,
,648435887#1,,,,,
,1056328496,,,,,
,184580011,,,,,
,429870959#0,,,,,
,304727918#0,,,,,
,-44884381#2,,,,,
,61184933#1,,,,,
,209210745#1,,,,,
,-44884446#0,,,,,
,31133855#1,,,,,
,24804076#6,,,,,
,388577168#1,,,,,
,174022720#8,,,,,
,174022649,,,,,
,44884380#0,,,,,
,44884105#0,,,,,
,61184931#0,,,,,
,-31133850#1,,,,,
,-1056330398#1,,,,,
,648408839#0,,,,,
,46876504#4,,,,,
,131633157#1,,,,,
,174022635#0,,,,,
,648435893#2,,,,,
,1056328004,,,,,
,304919608,,,,,
,1056328493,,,,,
,184293861#0,,,,,
,-102126347#3,,,,,
,425464570#0,,,,,
,1056328002#0,,,,,
,174022630#2,,,,,
,-44884381#0,,,,,
,-31133895#0,,,,,
,44884103,,,,,
,-1056328496,,,,,
,209210741#1,,,,,
,209210741#2,,,,,
,648435891#1-AddedOnRampEdge,,,,,
,-1122405187,,,,,
,174022716,,,,,
,154125442,,,,,
,31133930#0,,,,,
,-101134275#1,,,,,
,161392517,,,,,
,-429870959#1,,,,,
,648435888,,,,,
,25822382#1,,,,,
,916714465#0,,,,,
,1056328000,,,,,
,154125452#0,,,,,
,-31133881#4,,,,,
,44884104,,,,,
,1056328009,,,,,
,45018632#2,,,,,
,44884551#0,,,,,
,1056328001,,,,,
,31283330#1,,,,,
,-648408839#1,,,,,
,-1056328004,,,,,
,648435893#0,,,,,
,1056330402,,,,,
,1056330400#0,,,,,
,45018632#3,,,,,
,-1056328493,,,,,
,46876504#10-AddedOnRampEdge,,,,,
,131633156#0,,,,,
,304727761#1,,,,,
,174022720#0,,,,,
,174022720#7,,,,,
,-31238049#0,,,,,
,367851541#0,,,,,
,174022719#1,,,,,
,31133923,,,,,
,31283330#2,,,,,
,209210745#0,,,,,
,174022711#4,,,,,
,174022720#10,,,,,
,44884551#1,,,,,
,154125441,,,,,
,-44884347#5,,,,,
,-31133931,,,,,
,24804076#9,,,,,
,648435887#0,,,,,
,-44884446#1,,,,,
,31133930#1,,,,,
,4857047,,,,,
,44884352#0,,,,,
,-304727997#1,,,,,
,174022667#1,,,,,
,368083811#0,,,,,
,-31283330#1,,,,,
,44884446#0,,,,,
,367851538#3,,,,,
,-1056330400#1,,,,,
,-648435888,,,,,
,648435892#0,,,,,
,61184933#3,,,,,
,174022711#0,,,,,
,-25822382#3,,,,,
,102126347#2,,,,,
,368083792#2,,,,,
,1056330396#1,,,,,
,102126347#4,,,,,
,44884381#0,,,,,
,-24804076#9,,,,,
,-31133930#2,,,,,
,44884347#0,,,,,
,44884350,,,,,
,209210741#4,,,,,
,-44884349#0,,,,,
,154125452#1,,,,,
,101134275#0,,,,,
,304727809#0,,,,,
,1028570792#3,,,,,
,174022711#1,,,,,
,-429870959#4,,,,,
,184250108,,,,,
,388577152,,,,,
,1056330397#0,,,,,
,31133881#4,,,,,
,304727772#0,,,,,
,-31133895#1,,,,,
,304727990#0,,,,,
,1056330399#0,,,,,
,31238049#0,,,,,
,44884346#2,,,,,
,91096670#3,,,,,
,304727781#0,,,,,
,-368083792#3,,,,,
,209366292#5,,,,,
,-102126347#4,,,,,
,174022635#1,,,,,
,31133881#1,,,,,
,-44884347#2,,,,,
,44884344#0,,,,,
,24804076#2,,,,,
,-648435893#1,,,,,
,174022680#0,,,,,
,44884347#4,,,,,
,174022635#4,,,,,
,31133931,,,,,
,-24804076#8,,,,,
,304919602#1,,,,,
,44884446#1,,,,,
,174022726,,,,,
,-31133842#0,,,,,
,-1056330397#1,,,,,
,304727809#6,,,,,
,304727997#0,,,,,
,368083811#2,,,,,
,743671372#0,,,,,
,-304727990#2,,,,,
,44884349#1,,,,,
,1056330391,,,,,
,44884352#1,,,,,
,648435891#0,,,,,
,174022720#5,,,,,
,-44884346#3,,,,,
,45018632#0,,,,,
,44883352#1,,,,,
,25822382#3,,,,,
,-31133881#1,,,,,
,209366292#0,,,,,
,174405496#0,,,,,
,1056328005,,,,,
,-648435894,,,,,
,-102126347#1,,,,,
,154125460,,,,,
,-24804076#2,,,,,
,44884351,,,,,
,-1253807732#0,,,,,
,-648408839#3,,,,,
,-116436260,,,,,
,154125453,,,,,
,44884349#0,,,,,
,304727997#2,,,,,
,-1056330398#4,,,,,
,174022680#7,,,,,
,-743671372#1,,,,,
,44884354#1,,,,,
,429870959#4,,,,,
,-44884349#1,,,,,
,46876504#10,,,,,
,156919888#1,,,,,
,208649513#8,,,,,
,-31035836#1,,,,,
,-208649513#7,,,,,
,71470190#12,,,,,
,1028619489#0,,,,,
,349459713#1,,,,,
,-190552056#0,,,,,
,744266431#0,,,,,
,-24294874#1,,,,,
,-161392518#3,,,,,
,-1057054858#3,,,,,
,-228076698#2,,,,,
,749829569#9,,,,,
,1057527741#2,,,,,
,-71470213#0,,,,,
,154253453,,,,,
,88956628#2,,,,,
,185216947#1,,,,,
,-103945938#6,,,,,
,-161392626#1,,,,,
,70794980#1,,,,,
,-230293774#3,,,,,
,-161392586#0,,,,,
,44886562#3,,,,,
,-1237936909#1,,,,,
,88937129#2,,,,,
,-749869679#1,,,,,
,304727895#2,,,,,
,161392519#1,,,,,
,23288386,,,,,
,-228514822#2,,,,,
,-23217864#1,,,,,
,31303247#2,,,,,
,30842030#1,,,,,
,-154253462#0,,,,,
,545585643#1,,,,,
,228511424#0,,,,,
,-185216948,,,,,
,71470185#9,,,,,
,70936552#0,,,,,
,258044916,,,,,
,148642786#6,,,,,
,228514822#7,,,,,
,-120469241#1,,,,,
,120469239#1,,,,,
,-58672755#2,,,,,
,161392513#0,,,,,
,1255617398#5,,,,,
,-161392519#2,,,,,
,443243639,,,,,
,-116436239,,,,,
,-148642786#5,,,,,
,-88561227,,,,,
,304727895#0,,,,,
,-174022595#2,,,,,
,744777945#6,,,,,
,45018631#5,,,,,
,-104353087#4,,,,,
,88083336#2,,,,,
,-185216944,,,,,
,161392513#1,,,,,
,70364448#1,,,,,
,120588503#3,,,,,
,161392603,,,,,
,24294870#1,,,,,
,1144401621,,,,,
,-1060235884,,,,,
,-616560955#1,,,,,
,1057050907#0,,,,,
,-154253470#1,,,,,
,44884989#1,,,,,
,168663960#6,,,,,
,1057527743#5,,,,,
,-88561232#1,,,,,
,-161392543,,,,,
,-154253434#1,,,,,
,154253460#1,,,,,
,1057050910#2,,,,,
,44886560#1-AddedOnRampEdge,,,,,
,-1057054858#7,,,,,
,30841649#7,,,,,
,-154253457#1,,,,,
,1057054858#0,,,,,
,23217864#4,,,,,
,88954527#0,,,,,
,1057527743#3,,,,,
,44886564#0,,,,,
,-174022668,,,,,
,228056325#3,,,,,
,-1057054858#6,,,,,
,161392635#0,,,,,
,70350396#2,,,,,
,-1060224075#0,,,,,
,261321460#1,,,,,
,1144401620,,,,,
,58209119#2,,,,,
,71470195#3,,,,,
,70794984#1,,,,,
,31035836#2,,,,,
,1057054855#1,,,,,
,-261368286#3,,,,,
,70944770#1,,,,,
,1261366105#3,,,,,
,70794981#0,,,,,
,1057050910#3,,,,,
,365706961#1,,,,,
,-44886562#0,,,,,
,88083347#4,,,,,
,-156938647,,,,,
,161392518#0,,,,,
,671522408#3,,,,,
,156919937#2,,,,,
,-156919888#5,,,,,
,746884464#0,,,,,
,-88083349#5,,,,,
,-208649513#10,,,,,
,156919888#7,,,,,
,-154253469#2,,,,,
,156919937#1,,,,,
,71470190#3,,,,,
,168663961#3,,,,,
,749829569#7,,,,,
,70610417#0,,,,,
,-262334435#2,,,,,
,313849721#1,,,,,
,792462092#2,,,,,
,71470195#1,,,,,
,148642786#3,,,,,
,70794980#0,,,,,
,-1057050913#1,,,,,
,161392595#1,,,,,
,261368286#4,,,,,
,-261324434,,,,,
,-120588503#0,,,,,
,744892450#1,,,,,
,-23243740,,,,,
,71488888#2,,,,,
,-31303247#0,,,,,
,116436279#0,,,,,
,228056325#0,,,,,
,190433608,,,,,
,208649513#6,,,,,
,-23288386,,,,,
,304727900#0,,,,,
,23288277#2,,,,,
,-70936554#1,,,,,
,1257441179,,,,,
,23243742,,,,,
,104353087#0,,,,,
,23243736#0,,,,,
,156919938#0,,,,,
,24294873#0,,,,,
,154800540,,,,,
,-70936552#0,,,,,
,103945938#0,,,,,
,34078512#2,,,,,
,88083336#0,,,,,
,-228514822#7,,,,,
,23288277#3,,,,,
,-71488888#0,,,,,
,-24294871,,,,,
,-120469239#1,,,,,
,-154253449#0,,,,,
,228514822#6,,,,,
,1060226507#0,,,,,
,34078512#1,,,,,
,88083349#3,,,,,
,154253456#1,,,,,
,161392507#1,,,,,
,120588459#4,,,,,
,70936551#0,,,,,
,71502569#0,,,,,
,88956620#0,,,,,
,1060235882,,,,,
,228090234#1,,,,,
,185216946,,,,,
,-30841649#1,,,,,
,-23288277#0,,,,,
,163816326#0,,,,,
,-679653135#1,,,,,
,-1144401621,,,,,
,46655426#0,,,,,
,89477498,,,,,
,-44884989#1,,,,,
,70350393#2,,,,,
,261321460#0,,,,,
,120469241#1,,,,,
,-208649513#5,,,,,
,-1057054858#0,,,,,
,-70350388,,,,,
,59262035#0,,,,,
,749869680#1,,,,,
,-44886564#1,,,,,
,266525174,,,,,
,266525183#1,,,,,
,-161392598#1,,,,,
,185216943,,,,,
,154253470#2,,,,,
,261368286#5,,,,,
,71470190#0,,,,,
,-155035371,,,,,
,-1144401620,,,,,
,161392555,,,,,
,365706946#0,,,,,
,120588503#6,,,,,
,161392551,,,,,
,208649499#6,,,,,
,31280557#3,,,,,
,70794984#6,,,,,
,161392586#1,,,,,
,-70936554#0,,,,,
,-31035836#4,,,,,
,201348370,,,,,
,744266431#3,,,,,
,-261324433#2,,,,,
,88561232#6,,,,,
,742072643,,,,,
,-161392626#0,,,,,
,792462092#3,,,,,
,-161392518#0,,,,,
,-671522408#3,,,,,
,-71470213#3,,,,,
,148642786#2,,,,,
,-156919888#7,,,,,
,-871138585#3,,,,,
,-70610417#0,,,,,
,228514822#4,,,,,
,88083349#2,,,,,
,682712378,,,,,
,88561232#5,,,,,
,154800507,,,,,
,-148642786#3,,,,,
,-58209110#1,,,,,
,120588896#6,,,,,
,986505886#2,,,,,
,156919887#1,,,,,
,-161392595#1,,,,,
,154253459,,,,,
,70794984#4,,,,,
,679937858,,,,,
,744892450#0,,,,,
,154253452#1,,,,,
,-154253469#1,,,,,
,-116436279#0,,,,,
,24294874#0,,,,,
,88083355,,,,,
,88956620#2,,,,,
,-304727900#1,,,,,
,-23288277#2,,,,,
,23288278#1,,,,,
,-104353087#0,,,,,
,185217008,,,,,
,1057054858#1,,,,,
,1229917617,,,,,
,669100015#2,,,,,
,154253443,,,,,
,1261366105#0,,,,,
,-154253470#5,,,,,
,-34078512#2,,,,,
,1057527743#2,,,,,
,-88083336#0,,,,,
,58209119#4,,,,,
,24294874#1,,,,,
,1057054858#3,,,,,
,228076698#1,,,,,
,157296587#1,,,,,
,-228514822#6,,,,,
,304727900#2,,,,,
,-34078512#1,,,,,
,-161392519#3,,,,,
,-71470213#6,,,,,
,-154253456#1,,,,,
,103945938#4,,,,,
,-161392507#1,,,,,
,685193060#0,,,,,
,749829569#5,,,,,
,669100015#3,,,,,
,70364449#10,,,,,
,-120588459#4,,,,,
,161392586#0,,,,,
,-31280270#0,,,,,
,34078513#1,,,,,
,693896095,,,,,
,185217013#1,,,,,
,-1229917614#9,,,,,
,-1080435559,,,,,
,1057054856#1,,,,,
,228514822#2,,,,,
,23217864#1,,,,,
,-1056779405,,,,,
,749869680#0,,,,,
,-185216947#0,,,,,
,88083347#2,,,,,
,-23288277#1,,,,,
,31280557#1,,,,,
,185216948,,,,,
,671522408#2,,,,,
,-616560955#3,,,,,
,70936546#3,,,,,
,-261321460#0,,,,,
,744266431#5,,,,,
,-120588503#5,,,,,
,-139116576,,,,,
,120469239#0,,,,,
,115591852#3,,,,,
,261480762,,,,,
,58672755#2,,,,,
,168663960#4,,,,,
,163816326#2,,,,,
,71470226,,,,,
,116436239,,,,,
,23298951#0,,,,,
,1057527743#4,,,,,
,88561227,,,,,
,-266525183#1,,,,,
,71470210#1,,,,,
,70350393#4,,,,,
,45018631#3,,,,,
,104353087#4,,,,,
,-154253470#2,,,,,
,70936552#2,,,,,
,70350396#4,,,,,
,-161392555,,,,,
,-174022637,,,,,
,185216944,,,,,
,197530527#2,,,,,
,-70794984#7,,,,,
,-88561232#6,,,,,
,156575055#6,,,,,
,1060235884,,,,,
,-1144401619,,,,,
,616560955#1,,,,,
,616560955#2,,,,,
,-648082983#1,,,,,
,154253470#1,,,,,
,190552057#1,,,,,
,-197665252#1,,,,,
,88561232#1,,,,,
,161392543,,,,,
,154253434#1,,,,,
,1057527741#4,,,,,
,-148642786#2,,,,,
,24294873#1,,,,,
,-154253469#3,,,,,
,-88083336#1,,,,,
,-1060235883,,,,,
,671522408#4,,,,,
,-88083349#2,,,,,
,685193060#2,,,,,
,-679653135#0,,,,,
,88083348,,,,,
,-154800507,,,,,
,1057054858#6,,,,,
,-986505886#2,,,,,
,669100015#0,,,,,
,-154253459,,,,,
,-70794984#4,,,,,
,-185216966,,,,,
,-746533317,,,,,
,71470177#4,,,,,
,154253438,,,,,
,-30841649#3,,,,,
,-88083355,,,,,
,1279886348,,,,,
,44886562#0,,,,,
,30841649#9,,,,,
,545585643#0,,,,,
,154253444,,,,,
,156919888#5,,,,,
,88083349#5,,,,,
,-154253443,,,,,
,103945938#2,,,,,
,-88083349#8,,,,,
,154253469#2,,,,,
,88956628#0,,,,,
,1057050905#1,,,,,
,156919888#6,,,,,
,154253434#2,,,,,
,-46655387#0,,,,,
,120588459#2,,,,,
,-746533321#3,,,,,
,1057050913#1,,,,,
,679937856,,,,,
,31280557#6,,,,,
,-685193060#0,,,,,
,261324434,,,,,
,88956627,,,,,
,-156919888#0,,,,,
,120588503#0,,,,,
,365706946#0-AddedOffRampEdge,,,,,
,-693896095,,,,,
,23243740,,,,,
,31303247#0,,,,,
,-261324433#3,,,,,
,-154253463#0,,,,,
,1057054855#0,,,,,
,45664134#3,,,,,
,-161392518#8,,,,,
,1060226506#0,,,,,
,70936554#1,,,,,
,-115591840,,,,,
,88561232#7,,,,,
,-88561232#3,,,,,
,161392615#0,,,,,
,-671522408#2,,,,,
,-70794980#5,,,,,
,743631281#3,,,,,
,46655427#1,,,,,
,24294870#10,,,,,
,-286703477#0,,,,,
,120469241#0,,,,,
,71488888#0,,,,,
,24294871,,,,,
,-154253449#1,,,,,
,-261480762,,,,,
,120588896#4,,,,,
,71470195#2,,,,,
