origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
5,6,137719.96594921706,999999,5,8,1
5,5,137726.17616140528,999999,1,4,1
6,2,137728.14235402842,999999,5,6,1
6,5,137728.85655712342,999999,6,1,1
8,2,137730.31174404602,5,5,999999,1
5,8,137730.79149167784,999999,6,3,1
6,5,137733.9918762735,999999,6,2,1
6,6,137734.84100221848,6,999999,3,1
5,3,137734.89621786436,999999,6,6,1
6,6,137735.01222762512,999999,2,8,1
8,4,137739.5220554388,999999,6,0,1
5,5,137740.93215905022,999999,0,5,1
6,5,137746.49136609983,999999,1,6,1
1,6,137748.52489494698,999999,5,1,1
6,6,137749.24916620558,999999,5,6,1
6,5,137753.88647052352,999999,8,8,1
6,4,137755.88254889942,999999,1,8,1
6,1,137757.43535731954,8,999999,5,1
6,7,137761.8295323544,999999,5,8,1
6,6,137765.3366755733,1,999999,6,1
6,5,137769.865133082,999999,6,6,1
5,7,137770.25219168182,999999,8,4,1
5,5,137771.27998875227,999999,0,6,1
5,1,137776.45704288967,3,999999,6,1
1,1,137777.31418553268,8,999999,8,1
6,1,137777.69334291658,999999,2,1,1
5,1,137790.40474090946,6,3,999999,1
6,2,137791.38329379814,999999,5,0,1
6,2,137793.12712090803,999999,4,6,1
1,8,137803.2930875131,999999,6,5,1
5,1,137805.78153411532,999999,5,5,1
8,2,137807.2874584618,999999,2,6,1
5,5,137808.1760385069,5,0,999999,1
5,6,137808.63669095602,999999,8,1,1
2,1,137811.674030575,5,0,999999,1
1,5,137815.13797514472,999999,3,5,1
6,6,137815.76982740828,6,999999,1,1
1,2,137822.96577939414,999999,3,2,1
1,5,137825.15863361442,999999,6,0,1
5,0,137832.46400239196,999999,5,8,1
6,2,137835.61983423153,999999,1,5,1
5,6,137843.03186701375,3,0,999999,1
2,2,137843.0605139345,2,999999,5,1
6,2,137846.2826473396,999999,6,6,1
5,2,137857.45884392544,999999,5,2,1
6,1,137857.99608273752,3,999999,6,1
1,5,137870.78032227515,999999,6,6,1
6,2,137872.51269414352,999999,7,6,1
2,6,137876.22613412273,999999,8,3,1
5,1,137879.20859021397,999999,5,5,1
5,6,137879.38184121237,999999,2,2,1
6,2,137883.81967060437,999999,6,5,1
8,5,137888.3623729239,999999,2,1,1
5,3,137890.34631568246,6,999999,1,1
6,2,137897.81486238397,999999,5,6,1
8,4,137899.78001061783,999999,5,2,1
5,5,137903.1781264272,999999,0,1,1
5,5,137906.01826264046,999999,0,3,1
1,6,137906.32875026372,999999,1,6,1
1,6,137908.836512421,999999,6,3,1
6,6,137910.20015452374,999999,5,6,1
8,6,137911.18906753956,1,999999,8,1
6,6,137911.5225171711,999999,6,0,1
5,6,137912.15863985836,3,4,999999,1
6,6,137912.90691693773,999999,1,2,1
5,8,137918.65545529284,3,2,999999,1
5,5,137922.89344728985,1,8,999999,1
8,4,137924.17436179987,999999,0,6,1
6,5,137924.67593646672,999999,8,8,1
6,6,137931.08439862577,6,7,6,1
5,5,137931.20907581295,999999,4,2,1
4,7,137931.54190760775,0,5,6,1
5,3,137937.4975170006,999999,1,5,1
5,6,137937.97842708853,1,999999,8,1
5,2,137941.6897543645,999999,5,3,1
5,6,137946.92814830726,999999,5,2,1
6,5,137950.11274463177,999999,6,2,1
5,2,137952.5937386517,999999,6,6,1
6,1,137952.7799694035,999999,6,6,1
4,8,137953.2960457216,999999,5,1,1
2,1,137960.75772009528,6,999999,8,1
6,5,137963.41860298265,999999,1,2,1
6,2,137964.18478319136,2,6,999999,1
8,7,137966.89566530185,999999,1,1,1
5,4,137968.51461885177,999999,6,6,1
5,5,137971.0671621044,999999,0,8,1
6,2,137972.32398509458,999999,7,6,1
1,6,137973.49676468383,999999,3,8,1
5,6,137975.04757624134,999999,0,1,1
8,1,137975.39988795342,3,6,5,1
4,5,137982.6530996505,999999,1,4,1
6,4,137982.74568661753,5,5,999999,1
6,6,137985.97266357153,4,2,999999,1
6,1,137993.0317679281,6,999999,5,1
4,5,137994.05729277243,999999,2,6,1
4,3,137995.7084394974,999999,5,5,1
5,8,137996.0076014391,999999,6,6,1
8,4,137999.09858449874,6,999999,3,1
1,6,138001.09390070915,0,5,999999,1
5,5,138003.9971134695,999999,2,5,1
1,4,138004.14752636536,999999,3,1,1
5,3,138006.5732842685,999999,0,5,1
1,3,138008.50926440023,999999,8,6,1
5,6,138009.85646239214,999999,0,1,1
6,5,138010.7133509957,999999,6,6,1
5,2,138012.62617464605,999999,3,5,1
5,5,138015.1539529534,999999,4,6,1
5,8,138015.95583614963,999999,6,1,1
6,4,138016.2679355998,6,3,5,1
5,3,138017.24298054984,4,999999,6,1
1,2,138019.90489762637,5,999999,5,1
5,3,138019.95871862143,0,999999,1,1
5,5,138033.55550945547,999999,6,0,1
2,6,138034.4814888419,999999,8,5,1
5,2,138037.6868424044,999999,5,0,1
6,8,138037.98226238583,999999,4,0,1
8,0,138038.5855480744,4,999999,5,1
5,0,138048.95043175967,6,5,999999,1
8,1,138057.31067541245,2,999999,6,1
5,6,138061.0453295879,5,999999,6,1
6,2,138062.6145114852,999999,5,4,1
6,5,138066.20968822666,999999,6,6,1
6,6,138077.47183230158,999999,1,8,1
1,1,138078.53341898182,3,999999,6,1
5,2,138078.75817723633,999999,5,7,1
4,6,138086.4168701681,999999,5,1,1
1,4,138086.58718298294,999999,5,5,1
5,2,138086.86949748688,5,1,999999,1
1,1,138092.28409026223,999999,5,1,1
6,5,138093.0700640969,999999,1,5,1
6,6,138094.5192280743,3,999999,0,1
5,2,138096.73157105583,999999,6,6,1
6,3,138097.11059036313,6,6,999999,1
8,3,138097.66532054995,5,4,1,1
6,4,138098.4615254589,6,999999,2,1
5,1,138101.6523783101,999999,6,5,1
5,2,138103.38848635752,999999,6,8,1
1,1,138107.5786738593,999999,6,6,1
2,5,138109.62465795528,999999,4,2,1
4,8,138110.76456766357,999999,6,1,1
5,3,138114.95080635196,999999,8,0,1
