PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,来住町,44000000,,,240,,ほぼ正方形,8.5,120,2008年,木造,住宅,,東,道路,4.3,市街化調整区域,70,200,2008年第1四半期,,,松山市11区,来住町,132.800191,33.806067,9
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,北斎院町,86000000,1200000,,240,350000,不整形,,, ,,,,東,道路,4,準工業地域,60,200,2008年第1四半期,,,松山市16区,北斎院町,132.725208,33.838992,14
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北斎院町,11000000,,,110,,長方形,12,145, ,木造,住宅,,東,市道,5.6,準工業地域,60,200,2008年第1四半期,,,松山市16区,北斎院町,132.725208,33.838992,14
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北斎院町,24000000,,,380,,ほぼ整形,18,160,1973年,木造,住宅,,西,私道,4,第１種低層住居専用地域,50,80,2008年第1四半期,,調停・競売等,松山市16区,北斎院町,132.725208,33.838992,14
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北斎院町,8500000,,,120,,不整形,6,130,1982年,木造,住宅、店舗,,北,市道,6,第１種住居地域,60,200,2008年第1四半期,,調停・競売等,松山市16区,北斎院町,132.725208,33.838992,14
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,北持田町,57000000,700000,,270,210000,ほぼ整形,12.7,, ,,,,南,市道,5.5,第１種住居地域,60,200,2008年第1四半期,,,松山市3区,北持田町,132.777282,33.844585,1
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,桑原,17000000,350000,,160,110000,不整形,21,, ,,,,北西,市道,5.1,第１種住居地域,60,200,2008年第1四半期,,,松山市10区,桑原三丁目,132.795797,33.834018,8
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,桑原,25000000,310000,,270,94000,ほぼ長方形,9,, ,,,,南,市道,4,第１種低層住居専用地域,50,80,2008年第1四半期,,,松山市10区,桑原二丁目,132.791667,33.83589,8
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,鷹子町,15000000,,３ＬＤＫ,60,,,,,1996年,ＳＲＣ,住宅,,,,,,,,2008年第1四半期,,,松山市11区,鷹子町,132.813915,33.817865,9
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,鷹子町,31000000,310000,,330,94000,長方形,16.1,, ,,,,西,市道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市11区,鷹子町,132.813915,33.817865,9
不動産取引価格情報,宅地(土地),商業地,38201,愛媛県,松山市,中央,19000000,370000,,170,110000,不整形,15.8,, ,,,,西,市道,15,近隣商業地域,80,300,2008年第1四半期,,,松山市18区,中央二丁目,132.746146,33.855611,16
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,中央,14000000,,,135,,ほぼ台形,5.5,115,2001年,木造,住宅,,東,私道,4,準工業地域,60,200,2008年第1四半期,,,松山市7区,中央一丁目,132.751618,33.854127,5
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,中央,2000000,,１Ｋ,20,,,,,1988年,ＲＣ,住宅,,,,,第２種住居地域,60,200,2008年第1四半期,未改装,,松山市18区,中央二丁目,132.746146,33.855611,16
不動産取引価格情報,宅地(土地),住宅地,38201,愛媛県,松山市,土居町,17000000,400000,,140,120000,長方形,10,, ,,,,北西,私道,4,第１種住居地域,60,200,2008年第1四半期,,,松山市11区,南土居町,132.801797,33.798269,9
