PriceCategory,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,PricePerUnit,FloorPlan,Area,UnitPrice,LandShape,Frontage,TotalFloorArea,BuildingYear,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Remarks,Bzone,S_NAME_ref,lon_ref,lat_ref,choice_zone,選択ゾーン,Year
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,富久町,17000000,,,115,147826.08695652173,ほぼ台形,4.8,100.0,1999年,木造,住宅,,北,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市15区,富久町,132.728858,33.822449,13.0,[np.float64(11.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,西長戸町,17000000,,,135,125925.92592592593,不整形,,100.0,2001年,木造,住宅,,南,道路,4.2,第１種低層住居専用地域,50.0,80.0,2008年第1四半期,,,松山市18区,西長戸町,132.74164,33.867222,16.0,[np.float64(16.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,西垣生町,20000000,,,570,35087.71929824561,不整形,15.0,390.0,1975年,鉄骨造,住宅、作業場、倉庫,,南,市道,3.0,準工業地域,60.0,200.0,2008年第1四半期,,,松山市15区,西垣生町,132.698868,33.81314,13.0,[np.float64(12.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,東垣生町,17000000,,,145,117241.37931034483,ほぼ台形,15.4,100.0,2007年,木造,住宅,,北西,市道,5.0,第１種中高層住居専用地域,60.0,200.0,2008年第1四半期,,,松山市15区,東垣生町,132.713989,33.813622,13.0,[np.float64(12.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,東垣生町,30000000,,,720,41666.666666666664,ほぼ台形,13.5,135.0,1984年,木造,住宅,,南,市道,5.6,準工業地域,60.0,200.0,2008年第1四半期,,,松山市15区,東垣生町,132.713989,33.813622,13.0,[np.float64(12.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,東垣生町,23000000,,,125,184000.0,ほぼ長方形,10.5,100.0,2008年,木造,住宅,,西,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市15区,東垣生町,132.713989,33.813622,13.0,[np.float64(12.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,藤原,37000000,,,140,264285.71428571426,ほぼ長方形,,95.0,2007年,木造,住宅,,北,私道,4.2,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市5区,北藤原町,132.758688,33.834401,3.0,[np.float64(4.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,松前町,44000000,,,260,169230.76923076922,長方形,10.0,95.0, ,木造,住宅,,西,市道,6.0,近隣商業地域,80.0,300.0,2008年第1四半期,,,松山市7区,松前町五丁目,132.757688,33.850304,5.0,"[np.float64(5.0), np.float64(6.0)]",2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,南持田町,24000000,,４ＬＤＫ,75,320000.0,,,,1997年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2008年第1四半期,未改装,,松山市3区,南持田町,132.777104,33.842314,1.0,[np.float64(1.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,余戸中,23000000,,,190,121052.63157894737,ほぼ長方形,5.2,115.0,1986年,鉄骨造,住宅,,西,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市15区,余戸中六丁目,132.733951,33.817996,13.0,[np.float64(20.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,余戸西,33000000,,,135,244444.44444444444,ほぼ長方形,12.9,105.0,2008年,木造,住宅,,西,市道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市15区,余戸西五丁目,132.722828,33.817468,13.0,[np.float64(20.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,余戸西,21000000,,,165,127272.72727272728,ほぼ長方形,8.4,130.0,1994年,木造,住宅,,東,市道,4.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市15区,余戸西一丁目,132.725171,33.813527,13.0,[np.float64(20.0)],2008
不動産取引価格情報,中古マンション等,,38201,愛媛県,松山市,若草町,17000000,,２ＬＤＫ,55,309090.9090909091,,,,2006年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第1四半期,未改装,,松山市1区,若草町,132.760547,33.846079,0.0,[np.float64(6.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,湯の山東,30000000,,,195,153846.15384615384,ほぼ正方形,13.8,120.0,2007年,鉄骨造,住宅,,北西,私道,12.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市8区,湯の山東一丁目,132.818906,33.87218,6.0,[np.float64(24.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,湯の山東,31000000,,,180,172222.22222222222,ほぼ長方形,12.8,120.0,2007年,鉄骨造,住宅,,北西,私道,6.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市8区,湯の山東二丁目,132.820594,33.872571,6.0,[np.float64(24.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,湯の山東,34000000,,,240,141666.66666666666,ほぼ長方形,18.5,140.0,2007年,軽量鉄骨造,住宅,,南東,市道,9.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市8区,湯の山東三丁目,132.82049,33.874224,6.0,[np.float64(24.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,西石井,20000000,,,100,200000.0,ほぼ長方形,11.7,75.0,1985年,木造,,,北,市道,4.0,第１種低層住居専用地域,50.0,80.0,2008年第1四半期,,,松山市13区,西石井五丁目,132.771422,33.813709,11.0,[np.float64(30.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,和泉南,9200000,,,115,80000.0,ほぼ長方形,8.5,80.0,1988年,木造,住宅,,東,私道,4.0,第１種低層住居専用地域,50.0,80.0,2008年第1四半期,,,松山市13区,和泉南二丁目,132.763669,33.816407,11.0,[np.float64(30.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,府中,20000000,,,200,100000.0,不整形,5.5,100.0,2008年,木造,住宅,,北東,市道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市27区,府中,132.775151,33.955017,18.0,[np.float64(38.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,枝松,11000000,,,200,55000.0,ほぼ長方形,,9999.0,1975年,木造,共同住宅,,北東,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,調停・競売等,松山市4区,枝松二丁目,132.784912,33.834661,2.0,[np.float64(3.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,祇園町,13000000,,,160,81250.0,ほぼ長方形,11.0,50.0,1982年,木造,住宅,,東,市道,2.5,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市4区,祇園町,132.774171,33.830747,2.0,[np.float64(3.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,北梅本町,10000000,,,470,21276.59574468085,ほぼ長方形,33.0,40.0,1971年,鉄骨造,倉庫,,北西,市道,6.0,市街化調整区域,70.0,200.0,2008年第1四半期,,,松山市9区,北梅本町,132.845489,33.799019,7.0,[np.float64(28.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,清住,15000000,,,115,130434.78260869565,長方形,10.0,80.0,1993年,木造,住宅,,北,私道,4.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市17区,清住二丁目,132.717875,33.851096,15.0,[np.float64(10.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,清住,45000000,,,420,107142.85714285714,ほぼ台形,15.0,380.0,1989年,鉄骨造、木造,住宅、事務所,,南,市道,5.3,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市17区,清住一丁目,132.717732,33.854155,15.0,[np.float64(10.0)],2008
不動産取引価格情報,宅地(土地と建物),住宅地,38201,愛媛県,松山市,清住,46000000,,,280,164285.7142857143,ほぼ長方形,21.5,115.0,2008年,木造,住宅,,東,私道,5.0,第１種住居地域,60.0,200.0,2008年第1四半期,,,松山市17区,清住一丁目,132.717732,33.854155,15.0,[np.float64(10.0)],2008
