origin,destination,time,dest_alt1,dest_alt2,dest_alt3,value
4,1,44313.004962084015,999999,8,8,1
5,1,44313.004962084015,3,6,999999,1
5,1,44313.004962084015,999999,0,0,1
5,1,44315.599008838995,999999,5,6,1
5,8,44315.599008838995,999999,2,5,1
6,2,44315.599008838995,0,999999,6,1
8,1,44315.599008838995,999999,3,2,1
5,0,44315.74366852838,999999,1,2,1
2,4,44321.08539906906,3,999999,3,1
4,4,44321.08539906906,999999,5,6,1
5,8,44321.08539906906,8,999999,4,1
8,5,44321.08539906906,999999,6,1,1
8,4,44324.92562767936,999999,2,6,1
5,6,44328.631694382566,999999,3,6,1
5,8,44328.631694382566,999999,8,4,1
5,1,44332.90127801462,6,999999,4,1
8,0,44332.90127801462,6,1,8,1
6,5,44342.11579424625,999999,0,1,1
5,6,44346.390987560735,999999,0,6,1
8,5,44346.390987560735,4,999999,1,1
4,4,44349.64179449265,0,999999,3,1
5,2,44349.64179449265,999999,5,8,1
5,8,44349.80934254195,1,999999,4,1
1,1,44352.75150846576,999999,6,1,1
1,4,44352.75150846576,999999,5,6,1
1,8,44356.80239584894,999999,5,6,1
6,6,44356.80239584894,999999,999999,6,1
5,5,44359.49340283936,3,4,999999,1
5,5,44359.49340283936,999999,6,6,1
6,2,44359.49340283936,0,999999,4,1
6,4,44359.49340283936,6,999999,6,1
6,7,44359.49340283936,999999,5,6,1
6,8,44359.49340283936,999999,0,5,1
6,1,44360.05756226985,999999,999999,3,1
5,5,44364.2274256513,999999,6,0,1
5,8,44364.2274256513,3,8,999999,1
6,1,44365.36347222931,5,999999,2,1
1,5,44367.22046163789,999999,2,3,1
8,3,44367.22046163789,999999,4,6,1
5,4,44373.45092369194,999999,999999,6,1
8,2,44373.45092369194,1,999999,6,1
6,7,44376.04464621121,5,999999,2,1
8,2,44379.683145211995,999999,3,4,1
5,3,44381.14865891197,999999,1,6,1
5,7,44381.14865891197,0,999999,5,1
6,3,44382.29273960159,999999,6,2,1
5,1,44385.382682188334,2,999999,6,1
5,2,44385.382682188334,999999,4,8,1
5,2,44385.382682188334,999999,6,4,1
5,3,44385.382682188334,1,999999,5,1
6,1,44385.382682188334,2,999999,7,1
6,1,44386.0477767376,999999,5,0,1
1,8,44390.9037455615,999999,6,8,1
4,1,44390.9037455615,999999,8,6,1
5,4,44390.9037455615,999999,4,5,1
6,8,44390.9037455615,5,4,1,1
8,6,44390.9037455615,999999,6,1,1
6,6,44393.66143120644,999999,0,5,1
5,2,44398.13257601225,999999,5,6,1
5,2,44398.13257601225,999999,8,6,1
4,5,44401.51113124096,999999,6,4,1
5,6,44402.03202408376,1,999999,5,1
5,5,44405.79450381382,3,4,999999,1
4,8,44406.98059527715,3,4,5,1
5,7,44406.98059527715,5,6,999999,1
